"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"11000932",301428.2,574486.9,313276.4,578219,"M416",1139,"Rifle","Normal","Normal",12422.0937707779
"8249125",362224.3,393249.4,362135.8,393249.8,"M416",134,"Rifle","Normal","Normal",88.5009039501856
"32634819",195459.1,269793.9,195973.1,269767.7,"S686",247,"Shotgun","Normal","Normal",514.66731001687
"6843631",171430.3,224855.9,183286.3,229968.1,"SKS",346,"Sniper","Normal","Normal",12911.2092710172
"11374990",335703.6,491458.3,339812.7,494215.2,"Groza",529,"Rifle","Normal","Normal",4948.25225913154
"5091986",371964.8,358873.6,372593,358343.3,"S686",158,"Shotgun","Normal","Normal",822.102992331254
"37776819",339622.5,191004.2,338891.1,181773.1,"M249",1836,"Machine Gun","Normal","Normal",9260.02986874233
"28118109",390653.6,345302.2,389672.1,344731,"SCAR-L",1114,"Rifle","Normal","Normal",1135.61071234821
"9773539",156708.2,564931.5,158776,580791.5,"Mk14",1166,"Rifle","Normal","Normal",15994.2301108869
"27640696",221954.5,503450.8,225319.9,502239.5,"Kar98k",1899,"Sniper","Elevated","Elevated",3576.75339518954
"38122601",456812.4,628250.9,456619.2,628647.3,"M416",118,"Rifle","Normal","Normal",440.97528275406
"17867517",347857.1,163384.7,341204.6,163597.4,"AKM",1924,"Rifle","Normal","Normal",6655.89945386797
"35343971",552788,568693.1,551562,560998.9,"SKS",1460,"Sniper","Normal","Normal",7791.26367414165
"30047380",556626.6,228391.7,557216.1,228082.7,"Tommy Gun",691,"Sub Machine Gun","Normal","Normal",665.575878469164
"34081342",409644.9,287276.2,409644.9,287499.8,"S686",865,"Shotgun","Normal","Normal",223.599999999977
"13076318",355837.8,334715.5,359067.4,335440.5,"M416",626,"Rifle","Normal","Normal",3309.97600595536
"14885211",232446.9,498738.2,231920.1,498271.7,"M416",1297,"Rifle","Elevated","Elevated",703.662198785744
"31207158",238426.3,420371.1,240614.4,421375.6,"S1897",1054,"Shotgun","Normal","Normal",2407.65484652598
"9765092",394128.6,427267.6,395359,431594.3,"SCAR-L",1208,"Rifle","Normal","Normal",4498.24599705265
"18468091",458224.8,247264.4,452872.7,245787.4,"Mini 14",892,"Rifle","Normal","Normal",5552.16204824749
"19979199",527564.4,376344.5,522104.3,382055.3,"SCAR-L",1056,"Rifle","Normal","Normal",7901.00807808727
"19406437",225807.5,497334.8,221530.5,497727.6,"M16A4",1652,"Rifle","Elevated","Elevated",4294.99951571592
"17582318",669143.4,373379.6,668633.6,371701.5,"M16A4",1764,"Rifle","Normal","Normal",1753.82885425003
"17201906",416332.3,477971.7,415530.8,475105.6,"P1911",138,"Pistol","Normal","Normal",2976.05972050297
"1191917",671416.1,459436.3,672264.4,459503,"M416",629,"Rifle","Normal","Normal",850.918198183633
"35457548",315888.4,327812.3,315931,326725.4,"M16A4",1197,"Rifle","Normal","Normal",1087.7345126454
"6075007",550160.9,520742.4,557370.3,509616.8,"M416",887,"Rifle","Normal","Normal",13257.2404262728
"4977828",571905.4,242789.8,571768.9,242850.5,"AKM",1663,"Rifle","Normal","Normal",149.38788438157
"16709921",540585.6,248868.9,539576.2,248745.7,"SCAR-L",402,"Rifle","Normal","Normal",1016.89065292196
"2568923",386998.9,116048.8,386969.6,116648.7,"S1897",193,"Shotgun","Normal","Normal",600.615101375245
"11776379",675897.2,447158.5,675897.2,447158.5,"Hit by Car",364,"Vehicles","Normal","Normal",0
"16841152",612001.3,607254.1,612652,605252.4,"M16A4",231,"Rifle","Elevated","Elevated",2104.80720732322
"32207674",414273,280763.9,417854.7,279573.3,"Grenade",968,"Explosives","Normal","Normal",3774.40104519911
"34994684",340955.7,514684.2,349241.1,518494.3,"AKM",1114,"Rifle","Normal","Normal",9119.4690179856
"37008923",407808.6,629516.9,411402.8,629087.1,"SCAR-L",660,"Rifle","Normal","Normal",3619.80685672594
